"","sentence_text_new"
"218","We will ensure greater access to NHS dentistry by changing the way in which dentists are paid and offering patients a low monthly payment system to cover against large and unplanned bills."
"219","We will introduce health checks for immigrants in order to curb the spread of diseases such as TB and to protect access to our NHS."
"220","It is, after all, a national health service not a world health service."
"221","People coming to Britain for over 12 months from outside the EU will be required to undergo a full medical test."
"222","And anyone settling permanently here from outside the EU will have to demonstrate that they have an acceptable standard of health and that they are unlikely to impose significant costs or demands on Britain's health system."
"223","Public health is important - it affects every family in our country."
"224","That is why a Conservative Government will take action to tackle sexually transmitted infections (STIs)."
"225","In Britain today we face an STI epidemic."
"226","Today's sexually transmitted infections are tomorrow's NHS bills."
"227","It's time for a clear, bold and very public health TV campaign - young people need to know the risks involved and the precautions they can take."
"229","Safer Communities and More Police. Ensuring order is the first priority of government."
"230","Crime blights lives and ruins communities: it should not be excused, but condemned and punished."
"231","That means drawing a clear distinction between right and wrong, and restoring respect, discipline and decent values."
"232","Crime today is out of control."
"233","There is a gun crime every hour."
"234","A million violent crimes are committed each year."
"235","Fewer than one in four crimes are now cleared up."
"236","Criminals have a better chance of getting away with breaking the law today than at any time in the last 25 years."
"237","Anti-social behaviour - vandalism, graffiti, binge-drinking, threatening behaviour - is a growing concern in all our communities."
"238","Too many of Mr Blair's responses have been gimmicks, some of which, like marching yobs to cash machines, were never even introduced."
"239","It doesn't have to be that way."
"240","Crime can be cut."
"241","Anti-social behaviour can be confronted."
"242","Communities can and should be made safe for the law-abiding."
"243","It requires active community policing and a relentless focus on catching, convicting and punishing criminals."
"244","Labour's centralised control of the police has sapped officers' morale, increased bureaucracy and undermined public confidence."
"245","It is time to change direction."
"246","We will recruit 5,000 new police officers each year, radically cut paperwork and introduce genuine local accountability, through elected police commissioners."
"247","Giving local people a say over police priorities will lead to genuine neighbourhood policing with officers based in the locality clearly focused on zero tolerance."
"248","When criminals are caught they should be punished properly."
"249","If appropriate they should be sent to prison, and in any event encouraged to reform their ways."
"250","None of these things happens properly today."
"251","Our society needs more respect, discipline and decent values."
"252","Crime is wrong and should be punished, not excused."
"253","So, we will end Labour's early release from prison scheme and provide 20,000 extra prison places."
"254","We will introduce honesty in sentencing so that criminals serve the full sentence handed down by the court."
"255","They will be told, in open court, the minimum time that they will serve behind bars."
"256","There is much that can be done to improve the justice system - the police, courts and the prison and probation services."
"257","But they only pick up the pieces of problems whose roots often lie elsewhere."
"258","Our goal is to reverse the drift towards communities that are blighted by crime, where people live in fear."
"259","We will deliver safer neighbourhoods where the streets belong to the law-abiding."
"260","We will start at school by ensuring proper discipline."
"261","We will break the link between drugs and crime by massively expanding treatment programmes, including 25,000 residential rehab places (compared with fewer than 2,500 places today), and by giving all young users of hard drugs a straight choice - effective treatment or appearing in court."
"262","We will stop sending mixed messages on drugs by reversing Labour's reclassification of cannabis as a less serious drug, changing it from class ‘C' back to class ‘B'."
"263","We will support the social institutions - families, schools, voluntary bodies and youth clubs - that can prevent crime and drug dependency before it starts."
"264","A Conservative Government will place the highest possible priority on combating the threat from terrorism."
"265","This requires a coordinated response right across government, including funding for the intelligence services, training for the emergency services, robust anti-terror laws, controlled immigration and rigorous arrangements for the extradition and deportation of terrorist suspects."
"266","That's why we will appoint a Homeland Security Minister to co-ordinate our national response."
"268","Secure Borders and Controlled Immigration. Britain has benefited from immigration."
"269","We all gain from the social diversity, economic vibrancy and cultural richness that immigration brings."
"270","But if those benefits are to continue to flow we need to ensure that immigration is effectively managed, in the interests of all Britons, old and new."
"271","This Government has lost effective control of our borders."
"272","More than 150,000 people (net) come to Britain every year, a population the size of Peterborough."
"273","Labour see 'no obvious upper limit to legal immigration'."
"274","Our asylum system is in chaos."
"275","Instead of offering a safe haven to those most in need, the current system encourages illegality."
"276","Desperate individuals are forced into the hands of people smugglers and when they reach Britain they are open to continuing exploitation in the underground economy."
"277","Only two out of every ten asylum seekers are found to have a genuine claim."
"278","Britain has reached a turning-point."
"279","That is why a Conservative Government will bring immigration back under control."
"280","We have set out a series of practical and considered steps to restore control and fairness to our immigration system."
"281","First of all we will take proper control of our borders."
"282","We will ensure 24-hour surveillance at our ports, and restore full embarkation controls."
"283","Border security is currently divided between seven different bodies reporting to three different cabinet ministers."
"284","We believe that the time has now come to establish a British Border Control Police, whose sole job will be to secure Britain's borders."
"285","We will introduce a points-based system for work permits similar to the one used in Australia."
"286","This will give priority to people with the skills Britain needs."
"287","We welcome people who want to work hard and make a positive contribution."
"288","On asylum, a Conservative Government will not allow outdated and inflexible rules to prevent us shaping a system which is more humane, more likely to improve community relations and better managed."
"289","So we will take back powers from Brussels to ensure national control of asylum policy, withdraw from the 1951 Geneva Convention, and work for modernised international agreements on migration."
"290","Our objective is a system where we take a fixed number of refugees from the UNHCR rather than simply accepting those who are smuggled to our shores."
"291","Asylum seekers' applications will be processed outside Britain."
"292","We will set an overall annual limit on the numbers coming to Britain, including a fixed quota for the number of asylum seekers we accept."
"293","Parliament will set, and review, that number every year."
"294","We are committed to making a continued success of Britain's diversity."
"295","There should be popular consent for further demographic change."
"296","And the best way to secure continuing support for future migration is by showing that government has control of our borders."
"297","Refusing to set a limit on new migrants is irresponsible politics."
"298","Only the Conservatives take this issue seriously enough to insist on a limit, and will introduce the policies necessary to police it."
"300","Accountability. In the real world, if you say you're going to do something, you do it."
"301","And if you fail, you can lose your job."
"302","That is accountability."
"303","Accountability is at the heart of good government and a healthy democracy."
"304","We all know that when people think they can get away with it, they won't do things as well as they should."
"305","That's why we've published a Timetable for Action that sets out clearly what we will do, and when we will do it."
"306","And Michael Howard has made clear that ministers who fail to deliver will lose their jobs."
"307","Under Mr Blair, the way we are governed has become less accountable, more complex and, ultimately, less democratic."
"308","Ministers don't take responsibility for their failures."
"309","Unprecedented powers have been given to new, unelected and remote bodies, including regional assemblies for which there is no popular support."
"310","The House of Commons has been steadily undermined, and proper reform of the House of Lords has been repeatedly promised but never delivered."
"311","Conservatives understand that people identify with their town, city or county, not with arbitrary 'regions'."
"312","We will abolish Labour's regional assemblies."
"313","Powers currently exercised at a regional level covering planning, housing, transport and the fire service will all be returned to local authorities."
"314","The House of Commons needs to be made more capable of standing up to the executive."
"315","We will strengthen select committees and make time for proper scrutiny of all legislation."
"316","As part of our drive for efficiency across Whitehall and Westminster, we will cut the number of MPs by 20 per cent."
"317","We will seek cross-party consensus for a substantially elected House of Lords."
"318","Conservatives believe that the Union of England, Scotland, Wales and Northern Ireland brings benefits to all parts of our United Kingdom."
"319","We remain strongly committed to making a success of devolution in Scotland, so that it delivers for the Scottish people."
"320","In Wales we will work with the Assembly and give the Welsh people a referendum on whether to keep the Assembly in its current form, increase its powers or abolish it."
"321","But devolution has brought problems of accountability at Westminster."
"322","We believe in giving more power to individuals, families and communities."
"323","Now that exclusively Scottish matters are decided by the Scottish Parliament in Edinburgh, exclusively English matters should be decided in Westminster without the votes of MPs sitting for Scottish constituencies who are not accountable to English voters."
"324","We will act to ensure that English laws are decided by English votes."
"325","We are committed to supporting Northern Ireland's position within the United Kingdom in accordance with the consent principle."
"326","We will continue to work for a comprehensive political settlement, based on the principles of the Belfast Agreement."
"327","We will not accept any party into the government of Northern Ireland linked to a paramilitary organisation that holds on to illegal weapons and is engaged in any criminal activity."
"328","In the absence of devolved government, we will make direct rule more accountable."
"330","Communities, Transport and the Environment. Britain draws great strength from its diversity."
"331","We are a country of vibrant urban centres, historic towns and an evolving countryside."
"332","It is both inefficient and insensitive to local communities to impose uniform control from Whitehall."
"333","We believe in devolving power down to the lowest level so that local people are given greater control over their own lives."
"334","Local councils should be accountable to voters."
"335","But under Labour, people's priorities have taken second place to centrally imposed targets and Whitehall inspection regimes."
"336","The cost to local taxpayers has increased rapidly, with council tax levels up 76 per cent since 1997."
"337","It has been a vicious circle - less representation and more taxation."
"338","The Conservatives will liberate local government."
"339","Local communities will have a greater say over planning decisions."
"340","We will also give new powers to help local councils to deal with those incidents, such as illegal traveller encampments, which breach planning laws."
"341","Together with clear guidance for police and our review of the Human Rights Act, this will ensure fairness for all, rather than special rules for different groups."
"342","With greater power for local people will come less interference from central government."
"343","We will radically cut the burdens on local councils."
"344","A Conservative Government will support creativity and excellence in the arts."
"345","Instead of Labour's centralised bureaucracy and political interference, including in the National Lottery, we will devolve funding and decision-making while ensuring that the lottery supports the arts, heritage, sport and charities."
"346","The most powerful form of devolution is to individuals and families."
"347","The Right to Buy for council tenants extended home ownership, transformed many of Britain's housing estates and expanded our property-owning democracy."
"348","A Conservative Government will extend this right to tenants of housing associations."
"349","Our plans to boost shared ownership schemes, and give social housing tenants the right to own a share of their home, will also benefit first-time buyers."
"350","Empowering individuals also means giving them the opportunity to get around Britain more quickly and safely."
"351","A modern economy depends on it."
"352","A Conservative Government will end Labour's war on the motorist."
"353","We will modernise Britain's road network and review all speed cameras to ensure they are there to save lives, not make money."
"354","We will bring stability to the rail network, avoiding further costly and inefficient re-organisation."
"355","Successful train operating companies will have their franchises extended to allow companies to invest in improved stations, car parks, facilities and rolling stock."
"356","A commitment to safeguarding our environment lies deep in Conservative thinking."
"357","We instinctively understand the importance of conservation, natural beauty and our duty of stewardship of the earth."
"358","A Conservative Government will call a halt to Labour's plans to concrete over our green fields."
"359","We will promote development on brownfield sites and establish more Green Belts with tighter development rules."
"360","To ensure Britain plays its part in combating climate change, we will phase out the use of harmful HFCs and deliver greater incentives to make homes more energy-efficient."
"361","Through cuts in Vehicle Excise Duty and increased grants, we will significantly reduce the cost of cars with low carbon emissions."
"362","We believe that households and businesses should recycle an increasing amount of their waste."
"363","A Conservative Government will guarantee the security and sustainability of Britain's energy supplies."
"364","We will do this by supporting the development of a broad range of renewable energy sources."
"365","We also recognise that energy efficiency must play an increasingly important role in our energy policy."
"366","Conservatives understand the pressures on the livelihoods of those who work in rural areas."
"367","We value the diverse nature of our nation and believe in defending traditional liberties."
"368","A Conservative Government will therefore introduce a Bill, and offer Parliament a free vote, to overturn the Government's ban on hunting with dogs."
"369","Britain's farmers operate to some of the highest animal welfare standards in the world and help to preserve the countryside for all of us to enjoy."
"370","We will introduce a Bill to ensure honest labelling of food and stem the flow of expensive new regulation."
"371","We will support initiatives, such as farmers' markets and local food projects, that enable British customers to support Britain's farmers."
"372","The Little Red Tractor mark denotes high British animal welfare and production standards."
"373","We will insist that all publicly procured food carries this mark."
"374","We will press for further reform of the Common Agricultural Policy, to make it less burdensome for farmers and taxpayers alike."
"375","And we will promote legislation to strengthen and update animal welfare."
"377","Defending our Freedoms. Britain plays a unique role in the world."
"378","We are the only nation that is one of the five permanent members of the United Nations Security Council, a net contributor to the European Union, a member of the G8, at the centre of the Commonwealth family of nations and a leading member of NATO."
"379","We are a global trading nation with interests in every continent."
"380","As the world's fourth largest economy, we have the potential to be a powerful force for good."
"381","These durable strengths allow Britain to defend our interests and promote our values across the globe."
"382","As a country, we have been in the vanguard of freedom's advance, a friend to the growth of democracy, an advocate of the rule of law, a defender of the oppressed and a robust protector of our people's security."
"383","But, under this Government, Britain's ability to defend its interests and secure valuable freedoms has been undermined."
"384","Our Armed Forces, the vital muscle which allows us to punch above our weight, have been allowed to weaken."
"385","And our relations with the European Union have been mismanaged in a way which threatens not just British interests, but the capacity of the continent to adapt flexibly to the future."
"386","A Conservative Government will strengthen our Armed Forces within NATO by spending £2.7 billion more than Labour on the front line by 2007-08."
"387","Those serving in our Armed Forces are vitally important to us, so we must take care of the people most important to them."
"388","A Conservative Government will support service families."
"389","They deserve decent homes, good schools for their children, and the chance to spend as much time as possible with their families."
"390","We will make the Army stronger."
"391","A Conservative Government will preserve the regiments Labour would abolish and improve the supply and procurement of weaponry."
"392","We should support our Armed Forces and our foreign policy should serve the British national interest."
"393","We will save warships Mr Blair would scrap."
"394","A Conservative Government will support European co-operation on defence but we strongly believe that such co-operation should take place within the framework of NATO."
"395","If a Conservative Government ever has to take the country to war, we will tell the British people why."
"396","Mr Blair misrepresented intelligence to make the case for war in Iraq, and failed to plan for the aftermath of Saddam Hussein's downfall."
"397","It is nevertheless the case that a democratic Iraq would be a powerful beacon of hope in a troubled part of the world."
"398","So we believe that Britain must remain committed to rebuilding Iraq and allowing democracy to take hold."
"399","And a Conservative Government will work to achieve peace in the Middle East based on the principle of Israel secure within its borders and a viable Palestinian state."
"400","Conservatives support the cause of reform in Europe and we will co-operate with all those who wish to see the EU evolve in a more flexible, liberal and decentralised direction."
"401","We oppose the EU Constitution and would give the British people the chance to reject its provisions in a referendum within six months of the General Election."
"402","We also oppose giving up the valuable freedom which control of our own currency gives us."
"403","We will not join the Euro."
"404","In a reformed Europe, the restrictive employment laws of the Social Chapter will have to give way to more flexible working."
"405","We will ensure that Britain once again leads the fight for a deregulated Europe by negotiating the restoration of our opt-out from the Social Chapter."
"406","The common policies on agriculture and fisheries are unsustainable, damaging to free trade and conservation, and waste huge sums of money."
"407","The CAP needs further and deeper reform."
"408","And, because fisheries would be better administered at the national level, we will negotiate to restore national and local control over British fishing grounds."
"409","We are determined to ensure national control in this area."
"410","We will also build on the success of enlargement, making Europe more diverse by working to bring in more nations, including Turkey."
"411","We value Britain's membership of the European Union, but our horizons extend much further."
"412","A key element of British foreign policy under a Conservative Government will be fighting world poverty."
"413","We will support further action on debt relief and will work to meet the UN target of spending 0.7 per cent of national income on overseas aid by 2013."
"414","We believe that British aid programmes are among the best in the world, so we will negotiate to increase British national control over our international aid spending."
"415","Above all, we recognise that there is a vital thread that links open markets, free trade, property rights, the rule of law, democracy, economic development and social progress."
"416","We will use our global influence to champion these principles in the interests of the developing world."
"418","The Choice at this Election. The choice before voters is very clear."
"419","They can either reward Mr Blair for eight years of broken promises and vote for another five years of talk."
"420","Or they can vote Conservative, to support a party that has taken a stand and is committed to action on the issues that matter to hardworking Britons."
"421","Within the first month, we will start the recruitment of an extra 5,000 police officers each year."
"422","Within the first month, we will bring back Matron to take charge and deliver clean and infection-free wards."
"423","Within the first month, our first Budget will cut wasteful government spending, stop Labour's third term tax rises and lower taxes."
"424","Within the first day, we will set out plans to give head teachers the power to expel disruptive pupils."
"425","Within the first month, we will set in train 24-hour surveillance at ports of entry."
"426","Within the first day, we will set a date for the referendum on the European Constitution, in which we will campaign for a 'no' vote. "
