sentenceid,speechno,language,_golden,subsidy_scale,subsidy_scale_gold,subsidy_scale_gold_reason,screener,sentence_text,pre_sentence,post_sentence
26,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,"Κυρία Πρόεδρε, αυτό δεν είναι ένα απλό ζήτημα.",,"Επομένως, είναι σημαντικό για εμάς στο Κοινοβούλιο να δημιουργήσουμε μια καλά ισορροπημένη θέση. Υπάρχουν δύο κύριες πτυχές που πρέπει να ληφθούν υπόψη."
27,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Η συζήτηση επικεντρώθηκε σε τρία βασικά σημεία,Είναι εξαιρετικά σημαντικό όλες αυτές τις ευκαιρίες να αξιοποιηθούν πλήρως από τις εθνικές και περιφερειακές αρχές.  Επενδύσεις μεγάλης κλίμακας σε ενεργές πρωτοβουλίες για την αγορά εργασίας και εκτενή μέτρα περιβαλλοντικής αποκατάστασης είναι απαραίτητα ώστε το τελικό αποτέλεσμα να είναι αποδεκτό από τις περιοχές αυτές.,"Πρώτον, έχει προταθεί ότι τα ανθρακωρυχεία που γίνονται ανταγωνιστικά κατά τη διάρκεια της περιόδου αποκλεισμού θα πρέπει να μπορούν να συνεχίσουν να λειτουργούν. Κατά τη γνώμη μου, το θέμα αυτό απαιτεί πολύ προσεκτική εξέταση."
28,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,"Έτσι, πρέπει να ψηφίσουν με τρόπο που εκφράζει τις απόψεις τους.",Έχουμε ζητήσει μια ξεχωριστή ψηφοφορία για τις τροπολογίες 25 και 27.,"Ό, τι και αν αποφασίσουμε εδώ σήμερα, θα πρέπει να στείλουμε ένα σαφές μήνυμα προς την Επιτροπή. Πρέπει να δείξουμε ότι το Κοινοβούλιο είναι σε θέση να εξετάζει το παρελθόν αλλά και να έχει το βλέμμα στραμμένο στο μέλλον."
29,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Το Συμβούλιο θα καθορίσει τη θέση του.,"Όπως αναφέρθηκε προηγουμένως, αυτός είναι ένας κανονισμός του Συμβουλίου. Η γνώμη του Ευρωπαϊκού Κοινοβουλίου είναι πολύ σημαντική, αλλά η Συνθήκη ορίζει ότι, σε θέματα κρατικών ενισχύσεων ο κανονισμός είναι κανονισμός του Συμβουλίου.",Αυτή τη στιγμή - κατά την τελευταία συνεδρίαση της Επιτροπής των Μόνιμων Αντιπροσώπων - συζητήσαμε διεξοδικά και σαφώς την μελέτη επιπτώσεων που βλέπετε μπροστά σας σήμερα.
30,0,GR,TRUE,,1,"Η δήλωση αυτή υποστηρίζει ότι οι κρατικές ενισχύσεις πρέπει να παραταθούν αντί να καταργηθούν σταδιακά μέχρι το 2014, σύμφωνα με την πρόταση της Επιτροπής.",FALSE,"Για τους λόγους αυτούς, η δικαιολογία για την επιτάχυνση του κλεισίματος είναι λάθος.","Το περιβαλλοντικό μας αποτύπωμα μας είναι πολύ χειρότερο με τον εισαγόμενο άνθρακα, διότι πρέπει να μεταφερθεί εδώ από τον Καναδά, την Αυστραλία ή άλλες περιοχές του κόσμου.","Ο περιορισμός της ικανότητάς μας να παράγουμε ευρωπαϊκό άνθρακα από τα ευρωπαϊκά ορυχεία θα οδηγήσει τελικά σε περισσότερη ρύπανση και μεγαλύτερη απελευθέρωση διοξειδίου του άνθρακα, όχι λιγότερη. Από αυτή την άποψη, οι απόψεις που εκφράζουν υποστήριξη για τη σταδιακής κατάργηση είναι εσφαλμένη."
31,0,GR,TRUE,,1,"Η δήλωση αυτή υποστηρίζει ότι οι κρατικές ενισχύσεις πρέπει να παραταθούν αντί να καταργηθούν σταδιακά μέχρι το 2014, σύμφωνα με την πρόταση της Επιτροπής.",FALSE,Μόνο κατά το τελικό στάδιο η Επιτροπή πρότεινε τη μη ρεαλιστική προθεσμία του 2014.,"Πριν υποκύψουμε σε πολιτικές πιέσεις υπέρ της εγκατάλειψης του άνθρακα σε τέτοιες περιπτώσεις, θα πρέπει να εξασφαλιστεί η διαφοροποίηση εναλλακτικών και ασφαλή ενεργειακών εφοδιασμών. Αυτοί είναι οι λόγοι για τους οποίους θα στηρίξουμε τους συμβιβασμούς που υποβλήθηκαν από την Επιτροπή Οικονομικής και Νομισματικής Πολιτικής και της Επιτροπής Βιομηχανίας, Έρευνας και Ενέργειας, όπου προτείναμε ότι ο κανονισμός δίνει τη δυνατότητα στους εθνικούς προϋπολογισμούς - οι οποίοι δεν είναι οι προϋπολογισμοί της ΕΕ - να διατηρήσουν τα ορυχεία σε χώρες όπου αυτό είναι απαραίτητο.","Απορρίπτουμε αυτή την αλλαγή και θα στηρίξουμε τη συνέχεια των κρατικών ενισχύσεων πέρα από την προθεσμία αυτή, πράγματι μέχρι το 2030 εάν απαιτείται."
32,0,GR,TRUE,,1,"Η δήλωση αυτή υποστηρίζει ότι οι κρατικές ενισχύσεις πρέπει να παραταθούν αντί να καταργηθούν σταδιακά μέχρι το 2014, σύμφωνα με την πρόταση της Επιτροπής.",FALSE,Πρέπει να συνεχίσουμε να παρέχουμε υποστήριξη όχι μόνο μέχρι το 2014 αλλά και περαιτέρω.,"Κυρία Πρόεδρε, δεν είναι μόνο δικαιολογημένο για εμάς να συνεχίσουμε να στηρίζουμε τη βιομηχανία άνθρακα, αλλά κατά τη γνώμη μου αυτό είναι επίσης απολύτως αναγκαίο.","Είναι καθήκον μας να προστατεύσουμε τους πολίτες της Ευρωπαϊκής Ένωσης από τις πολλές αρνητικές συνέπειες της παγκοσμιοποίησης. Αυτό περιλαμβάνει επίσης την προσφορά εργαζομένων σε βιομηχανίες που δεν είναι πλήρως ανταγωνιστικές στην παγκόσμια αγορά μακροπρόθεσμα, την επανεκπαίδευση τους για να μπορέσουν να αναλάβουν άλλες θέσεις εργασίας."
33,0,GR,TRUE,,1,"Αυτή η δήλωση είναι υπέρ των επιδοτήσεων, διότι αναφέρει τις αρνητικές οικονομικές συνέπειες σε περιοχές που έχουν πληγεί από την παύση λειτουργίας ορυχείων.",FALSE,"Η δραστική μείωση των επιδοτήσεων για την εξόρυξη άνθρακα τα τελευταία χρόνια είχε τρομερές, αρνητικές συνέπειες για πολλές περιοχές εξόρυξης.","Πρέπει να επιτρέψουμε στις περιοχές εξόρυξης να γίνουν σταδιακά λιγότερο εξαρτημένες από την εξορυκτική βιομηχανία, χωρίς η ευημερία τους να μειωθεί σημαντικά. Πρέπει να δοθεί μια ρεαλιστική και προοδευτική ευκαιρία να αναδιαρθρώσουν τις οικονομίες τους.",Πολλές περιοχές πιάστηκαν απροετοίμαστες από ταχείες αλλαγές πολιτικής. Σαν αποτέλεσμα έχει αυξηθεί περιφερειακές ανεργία και φτώχεια.
34,0,GR,TRUE,,1,"Η δήλωση αυτή υποστηρίζει ότι οι κρατικές ενισχύσεις  πρέπει να παραταθούν αντί να καταργηθούν σταδιακά μέχρι το 2014, σύμφωνα με την πρόταση της Επιτροπής.",FALSE,Η επιταχυμένη ημερομηνία του 2014 είναι μια μη ρεαλιστική προθεσμία για το κλείσιμο των ορυχείων,"Επιπλέον, οι εργαζόμενοι των ορυχείων και οι οικογένειές τους μπορούν να χάσουν την εμπιστοσύνη τους στην πολιτική διαδικασία εάν αποφάσεις όπως αυτές που τους επηρεάζουν άμεσα, γίνονται σε ακατάλληλη στιγμή. Πρέπει να εστιάσουμε την προσοχή μας ίσα και στις αραιοκατοικημένες περιοχές, οι οποίες θα υποφέρουν περισσότερο από κοινωνικο-οικονομική άποψη.","Από την άλλη πλευρά, η προθεσμία του 2020 που προτάθηκε συγκεκριμένα από την Επιτροπή Βιομηχανίας, Έρευνας και Ενέργειας θα πρέπει να επανεξεταστεί. Αυτός είναι ο λόγος που η παράταση της προθεσμίας το 2018 αποτελεί έναν καλό συμβιβασμό."
35,0,GR,TRUE,,1,"Αυτή είναι μια δήλωση υπέρ των επιδοτήσεων, διότι αναφέρει ότι τα μη αποδοτικά ορυχεία θα πρέπει να υποστηριχθούν καθώς η εγχώρια παραγωγή άνθρακα είναι απαραίτητη για την ενεργειακή ασφάλεια.",FALSE,"Οι επιδοτήσεις δεν αποτελούν μια γενική πορεία προς την ανταγωνιστικότητα, αλλά το να κάνουμε τον ευρωπαϊκό άνθρακα ανταγωνιστικό μέσω  επιχορηγήσεων έχει στρατηγική σημασία, πρώτα απ 'όλα, επειδή το 60% της ευρωπαϊκής ενέργειας εισάγεται και από το υπόλοιπο 40%, ένα μεγάλο ποσοστό είναι πυρηνική ενέργεια - την οποία η πλειοψηφία του Σώματος δεν υποστηρίζει - και, δεύτερον, λόγω των αυξήσεων των τιμών: η ευρωπαϊκή τιμή του άνθρακα κινείται όλο και πιο κοντά στη διεθνή τιμή άνθρακα. Από την άλλη πλευρά, η προθεσμία του 2020 που προτάθηκε συγκεκριμένα από την Επιτροπή Βιομηχανίας, Έρευνας και Ενέργειας θα πρέπει να επανεξεταστεί. Αυτός είναι ο λόγος που η παράταση της προθεσμίας το 2018 αποτελεί έναν καλό συμβιβασμό.","Κυρία Πρόεδρε, κύριε Επίτροπε, είναι κρίμα που το Κοινοβούλιο έχει δικαίωμα σε τίποτα περισσότερο από διαβουλεύσεις, όταν αυτό που συζητάμε είναι το μέλλον των 180 000 ευρωπαϊκών οικογενειών και μιας εγχώρια πηγή ενέργειας κατ 'εξοχήν της Ευρωπαϊκής Ένωσης.","Επιπλέον, θα ήθελα να σας ρωτήσω το εξής: τι είναι ανταγωνιστικός άνθρακας; Ρωτήστε τον εαυτό σας αν όλο τον άνθρακα που  εισάγει η Ευρωπαϊκή Ένωση περιλαμβάνει κόστη κοινωνικά και ασφάλειας των ορυχείων που περιλαμβάνονται στη τιμή του ευρωπαϊκού άνθρακα."
36,0,GR,TRUE,,1,Η δήλωση αυτή υποστηρίζει τη συνέχιση των επιδοτήσεων λόγω των θέσεων εργασίας που εξαρτώνται από τα μη αποδοτικά ορυχεία.,FALSE,Οι κρατικές ενισχύσεις για την ευρωπαϊκή βιομηχανία άνθρακα είναι απόλυτη αναγκαιότητα.,"Είναι ζωτικής σημασίας για την Ευρωπαϊκή Ένωση να καλύπτει το μεγαλύτερο μέρος των αναγκών της για άνθρακα από την εγχώρια παραγωγή. Εκτός εάν χορηγηθούν κρατικές ενισχύσεις, η παραγωγή θα μειωθεί κατά 25% με αποτέλεσμα εκατοντάδες χιλιάδες θέσεις εργασίας να χαθούν.",Πολλά ορυχεία είναι  μη ανταγωνιστικά μόνο λόγω του παρωχημένου τεχνικού εξοπλισμού τους. Κρατικές ενισχύσεις θα έπρεπε να επιτρέπουν οι εγκαταστάσεις αυτές να τροποποιηθούν ώστε να εξασφαλιστεί η ασφάλεια των θέσεων εργασίας.
37,0,GR,TRUE,,1,"Αυτή είναι μια δήλωση υπέρ των επιδοτήσεων, διότι αναφέρει ότι τα μη αποδοτικά ορυχεία θα πρέπει να υποστηριχθούν, καθώς η εγχώρια παραγωγή άνθρακα είναι απαραίτητη για την ενεργειακή ασφάλεια.",FALSE,Ο Ευρωπαϊκός άνθρακας είναι ασφαλής άνθρακας.,"Ενεργειακή μας εξάρτηση σημαίνει ότι μόνο ο άνθρακας μπορεί να εγγυηθεί τον ασφαλή εφοδιασμό μας ως εγχώρια πηγή ορυκτών καυσίμων. Θα πρέπει επίσης να εξετάσουμε τις μη ασφαλείς συνθήκες εργασίας σε πολλά ορυχεία που βρίσκονται εκτός της Ευρώπης, όπου η ζωή και η ασφάλεια των εργαζομένων τίθεται σε κίνδυνο.","Επιπλέον, ο ευρωπαϊκός άνθρακας είναι καθαρός. Ως εκ τούτου, στις τροπολογίες για την έκθεση Rapkay ζητούμε την επ 'αόριστον παράταση της ενίσχυσης δαπανών που σχετίζονται με τη δέσμευση των εκπομπών διοξειδίου του άνθρακα."
38,0,GR,TRUE,,1,"Αυτό υποστηρίζει τις κρατικές ενισχύσεις για τα ορυχεία, επειδή θα μπορούσε να γίνει για να είναι επικερδής για μια ακόμη φορά.",FALSE,"Στόχος μας πρέπει να είναι η στήριξη των ορυχείων αυτών, με σκοπό να τα επιστρέψουμε στην κερδοφορία.","Κυρία Πρόεδρε, θα ήθελα να πω τρία πράγματα. Πρώτον, τα ορυχεία τα οποία δεν είναι κερδοφόρα αφορούν μόνο το 5% των ορυχείων στην Ευρωπαϊκή Ένωση.","Δεύτερον, θα πρέπει επίσης να εμποδίσουμε τις εισαγωγές επιδοτούμενου άνθρακα από το εξωτερικό. Τρίτον, θα πρέπει να αποφεύγεται κάθε παρεμβολή από λομπίστες."
39,0,GR,TRUE,,1,Η δήλωση αυτή υποστηρίζει τη συνέχιση των επιδοτήσεων λόγω των θέσεων εργασίας που εξαρτώνται από τα μη αποδοτικά ορυχεία.,FALSE,Το κλείσιμο των ορυχείων πριν από την πλήρη αξιοποίηση της κρατικής ενίσχυσης για την ελαχιστοποίηση του κόστους μετάβασης θα οδηγήσει σε εξαιρετικά σοβαρά κοινωνικά προβλήματα.,"Πρέπει να παρατείνουμε περισσότερο την προθεσμία για το κλείσιμο των μη ανταγωνιστικών ορυχείων, καθώς η πλειοψηφία του πληθυσμού στις περιοχές εξόρυξης απασχολούνται από την εξόρυξη. Είναι απολύτως απαραίτητο να γίνουν σχέδια για επαγγελματική επανακατάρτιση και κοινωνικο-οικονομική ανάκαμψη.","Κατά τη διάρκεια της τρέχουσας κρίσης, θα ήταν σκόπιμο επίσης να γίνουν αίτησει στα Ευρωπαϊκά Διαρθρωτικά Ταμεία, δεδομένης της κοινωνικής, οικονομικής και περιβαλλοντικής σημασίας για την Ευρωπαϊκή Ένωση."
40,0,GR,TRUE,,1,"Η δήλωση αυτή υποστηρίζει τη συνέχιση των επιδοτήσεων, διότι τα ευρωπαϊκά ορυχεία μπορούν να εγγυηθούν την ασφάλεια των εργαζομένων ενώ τα μη-ευρωπαϊκά ορυχεία δεν το κάνουν.",FALSE,Τί καλό είναι η ανταγωνιστικότητα όταν αγοράζεται εις βάρος της ζωής των ανθρακωρύχων;,"Μην ξεχνάτε πόσα ατυχήματα στα ορυχεία ακούμε στα μέσα ενημέρωσης. Εξόρυξη άνθρακα συμβαίνει σε όλο τον κόσμο, αλλά δυστυχώς τα πρότυπα ασφάλειας αλλού είναι πολύ χαμηλότερα σε σύγκριση με εκείνους στην Ευρώπη.","Οι συνέπειες μιας πρόωρης λήξης των επιδοτήσεων θα είναι για την ασφάλεια των εργαζομένων και τη ζωή των εργαζομένων. Για τους εργαζόμενους που πλήττονται, αυτό είναι ένα πάρα πολύ μεγάλο κόστος που καλούνται να πληρώσουν για μια οικονομική αρχή."
41,0,GR,TRUE,,1, «αυτή η ευκαιρία» της κατάστασης ζητά την παράταση των κρατικών ενισχύσεων  αντί την σταδιακή τους μείωση από το 2014 σύμφωνα με την πρόταση της Επιτροπής.,FALSE,"Μπορώ μόνο να πω Ναι, πρέπει να δώσουμε βοήθεια αυτή την ευκαιρία.","Ας μην υποκρινόμαστε ότι μπορούμε να αποφύγουμε αυτό το σημαντικό ζήτημα. Το ερώτημα είναι κατά πόσον ή όχι θα πρέπει να δώσουμε στις κρατικές ενισχύσεις την ευκαιρία να κάνουν τη διαφορά, χωρίς να προκληθεί αναστάτωση από απότομες κινήσεις.",Αυτή η περίοδος τετραετίας δεν αρκεί. Παρακαλώ πάρτε αυτό το μήνυμα πίσω στην Επιτροπή.
42,0,GR,TRUE,,1,"Η δήλωση αυτή υποστηρίζει ότι οι κρατικές ενισχύσεις  πρέπει να παραταθούν, αντί να καταργηθούν σταδιακά μέχρι το 2014 σύμφωνα με την πρόταση της Επιτροπής.",FALSE,"Κυρία Πρόεδρε, κύριε Rapkay, υπάρχουν αρκετά πειστικά επιχειρήματα εναντίον ενός τέτοιου μηχανισμού ταχείας λήξης των επιδοτήσεων.",χ,Αναφέρομαι κυρίως στις κοινωνικές και οικονομικές συνέπειες σε περιφερειακή κλίμακα. Είναι σημαντικό ότι ξοδεύουμε επιδοτήσεις για τη διευκόλυνση της σωστής παύσης λειτουργίας των ορυχείων: να εξασφαλιστεί ότι οι εν λόγω εργαζόμενοι θα μετεκπαιδευτούν και επαναπροσληφθούν σε άλλους τομείς της αγοράς εργασίας.
43,0,GR,TRUE,,1,Η δήλωση αυτή υποστηρίζει τη συνέχιση των επιδοτήσεων λόγω των θέσεων εργασίας που εξαρτώνται από τα μη αποδοτικά ορυχεία.,FALSE,"Για τις περιοχές που επηρεάζονται, κλείσιμο των ορυχείων σημαίνει και τέλος στην κύρια ασχολία τους.",Δεν λέμε ότι η ασύμφορη παραγωγή θα πρέπει να συνεχιστεί για πάντα. Αλλά πρέπει να θυμόμαστε ότι διαρθρωτικές αλλαγές σε αυτήν την κλίμακα θα έχουν αναπόφευκτα εκτεταμένες και δραματικές κοινωνικές συνέπειες.,"Αυτό αντικατοπτρίζεται στην ικανότητα των πόλεων να παρέχουν στους κατοίκους υπηρεσίες και την παρακμή ολόκληρων κοινοτήτων. Είναι προς το συμφέρον όλων, εάν μεγάλες κοινωνικές αλλαγές όπως αυτές που σχετίζονται με το σταδιακό κλείσιμο των ορυχείων λαμβάνουν χώρα με τα σωστά εργαλεία διαθέσιμα και με μια επαρκή μεταβατική περίοδο."
44,0,GR,TRUE,,1,Η δήλωση αυτή υποστηρίζει τη συνέχιση των επιδοτήσεων λόγω των θέσεων εργασίας που εξαρτώνται από τα μη αποδοτικά ορυχεία.,FALSE,Η τελευταίος και πιο σημαντικός λόγος είναι οι περισσότερες από 180.000 οικογένειες που θα μπορούσαν να επηρεαστούν.,"Δεν πρέπει να ξεχνάμε ότι, σε πολλές περιπτώσεις τα ορυχεία από τα οποία εισάγουμε άνθρακα δεν συμμορφώνονται με τα κοινωνικά δικαιώματα. Όσον αφορά την περιφερειακή αειφορία, σε πολλές περιπτώσεις, τα ορυχεία βρίσκονται σε αραιοκατοικημένες περιοχές που εξαρτώνται εξ ολοκλήρου από τη βιομηχανία για τη διατήρηση της περιοχής και διατρέχουμε τον κίνδυνο να μετατρέψουμε τα εδάφη μας σε ερήμους.","Στην περιοχή μου, οι άνθρωποι έχουν χτίσει τη ζωή τους γύρω από τη βιομηχανία άνθρακα. Ταχύ κλείσιμο θα καταστρέψει αυτές τις κοινότητες."
45,0,GR,TRUE,,-1,Η απάντηση σε αυτή τη δοκιμή πρόταση είναι συνεπής με τις ρητές οδηγίες.,TRUE,Αγνοήστε τα συμφραζόμενα και χαρακτηρίστε αυτή την πρόταση ως μια δήλωση κατά των επιδοτήσεων.,Δεν υπάρχει απολύτως καμία αναφορά σε αυτό στην μελέτη επιπτώσεων. Το μόνο πράγμα που θα μπορούσε να το εξηγήσει είναι ότι το 2014 είναι ακριβώς στα μισά του δρόμου μεταξύ του 2010 και του 2018. Πρέπει να είναι.αυτό.,"Κανένα από τα επιχειρήματα υπέρ της πρότασης αυτής μπορεί να ληφθεί σοβαρά υπόψη, διότι δεν είναι σωστά. Υπάρχει το επιχείρημα ότι το καθεστώς κρατικών ενισχύσεων που υιθετήθηκε το 2002, το οποίο πρόκειται να λήξει, ήταν μια ρύθμιση για τη σταδιακή κατάργηση  της εξόρυξης άνθρακα."
46,0,GR,TRUE,,-1,Η απάντηση σε αυτή τη δοκιμή πρόταση είναι συνεπής με τις ρητές οδηγίες.,TRUE,Αγνοήστε τα συμφραζόμενα και χαρακτηρίστε αυτή την πρόταση ως μια δήλωση κατά των επιδοτήσεων.,"Το μόνο επιχείρημα που έχει αναφερθεί και το οποίο, παρεμπιπτόντως, έρχεται σε αντίθεση με τη μελέτη επιπτώσεων της Επιτροπής που αρχικά φαινόταν να είναι υπέρ του 2018, ήταν ότι οι λόγοι περιβαλλοντικής πολιτικής που θα μπορούσε να διαδραματίσει ένα ρόλο εδώ. Θα ήθελα να τονίσω για άλλη μια φορά ότι δεν κάνει καμία διαφορά για το κλίμα αν καίμε εισαγόμενο ή εγχώριο άνθρακα.",Έτσι ερμήνευσα την αναφορά μόλις τώρα στην Επιτροπή που εξετάζει το θέμα και είμαι ευγνώμων για αυτό.
47,0,GR,TRUE,,1,Η απάντηση σε αυτή τη δοκιμή πρόταση είναι συνεπής με τις ρητές οδηγίες.,TRUE,Αγνοήστε τα συμφραζόμενα και χαρακτηρίστε αυτή την πρόταση ως μια δήλωση υπέρ των επιδοτήσεων.,Πρέπει να θυμόμαστε ότι η παγκόσμια αγορά άνθρακα αλλάζει μπροστά στα μάτια μας. Η ζήτηση για άνθρακα και η τιμή του άνθρακα αυξάνονται.,"Η απομάκρυνση από τον άνθρακα παρουσιάζει επίσης πολύ σοβαρά προβλήματα για την ενεργειακή ασφάλεια σε χώρες όπως η Πολωνία, οι οποίες παράγουν το 95% της ηλεκτρικής τους ενέργειας από άνθρακα. Η απομάκρυνση από τον άνθρακα σε τέτοιες καταστάσεις περιλαμβάνει μόνο μία εναλλακτική λύση - μια ακόμη μεγαλύτερη εξάρτηση από το φυσικό αέριο, το οποίο εισάγεται από μία μόνοκατεύθυνση."
48,0,GR,TRUE,,1,Η απάντηση σε αυτή τη δοκιμή πρόταση είναι συνεπής με τις ρητές οδηγίες.,TRUE,Αγνοήστε τα συμφραζόμενα και χαρακτηρίστε αυτή την πρόταση ως μια δήλωση υπέρ των επιδοτήσεων.,"Απορρίπτετε αυτή την ιδέα για τον ευρωπαϊκό άνθρακα; Όσο μακρύτερη είναι αυτή η περίοδος τόσο το καλύτερο, έτσι ώστε να μπορούμε να εισαγάγουμε καθαρές τεχνολογίες καύσης και αποθήκευσης που υπάρχουν ήδη στην Ευρωπαϊκή Ένωση.","Δεν πιστεύω ότι η απόρριψη της δυνατότητας για άνθρακα από την ΕΕ, όπως κάνετε, είναι φιλελευθερισμός: πιστεύω ότι είναι υποκρισία."
49,0,GR,TRUE,,0,Η απάντηση σε αυτή τη δοκιμή πρόταση είναι συνεπής με τις ρητές οδηγίες.,TRUE,Αγνοήστε τα συμφραζόμενα και χαρακτηρίστε αυτή την πρόταση ως μια ουδέτερη δήλωση ως προς της επιδοτήσεις.,Η Ευρωπαϊκή Επιτροπή προσπαθεί - με οποιοδήποτε τίμημα και τρόπο που δεν δικαιολογείται από την οικονομική λογική - να μειώσει την εξόρυξη άνθρακα.,Αναφέρομαι στο κόστος των εκπομπών. Πρόκειται για μια πολιτική που υπονομεύει τα οικονομικά θεμέλια εκείνων των χωρών στις οποίες το μεγαλύτερο ποσό ενέργειας που προέρχεται από τον άνθρακα.
50,0,GR,TRUE,,0,Η απάντηση σε αυτή τη δοκιμή πρόταση είναι συνεπής με τις ρητές οδηγίες.,TRUE,Αγνοήστε τα συμφραζόμενα και χαρακτηρίστε αυτή την πρόταση ως μια ουδέτερη δήλωση ως προς της επιδοτήσεις.,"Πιστεύω ότι η προσέγγισή μας σε αυτήν τη νέα στρατηγική δεν θα πρέπει να είναι η αύξηση της εξάρτησής μας από μία μόνο πηγή υδρογονανθράκων, αλλά για να αυξηθεί η οικονομική μας ανεξαρτησία. Τέλος, έχει αναφερθεί η οικονομία του 21ου αιώνα.","Σε αυτό το πλαίσιο, θα ήθελα να συγχαρώ τον εισηγητή, κ Rapkay"